Vox file for Triad
14x14x14 slab size 
---------------------
 x    y    z    c    
---------------------
 2    6    3    1 
 2    6    9    1 
 2    10   4    1 
 2    10   9    1 
 3    3    4    1 
 3    3    6    1 
 3    3    7    1 
 3    3    8    1 
 3    3    9    1 
 3    3    10   1 
 3    3    11   1 
 3    7    9    1 
 3    9    4    1 
 3    9    9    1 
 4    6    3    1 
 4    8    4    1 
 4    9    4    1 
 4    10   4    1 
 4    11   3    1 
 4    12   3    1 
 4    12   5    1 
 4    12   7    1 
 4    12   8    1 
 4    12   12   1 
 5    6    9    1 
 5    7    9    1 
 5    8    4    1 
 5    8    9    1 
 5    9    4    1 
 5    9    9    1 
 5    10   4    1 
 5    10   9    1 
 6    6    3    1 
 6    10   4    1 
 7    3    9    1 
 7    3    10   1 
 7    4    9    1 
 7    6    9    1 
 7    7    9    1 
 7    8    9    1 
 7    9    9    1 
 7    10   9    1 
 8    6    3    1 
 8    10   4    1 
 9    4    9    1 
 9    6    3    1 
 9    6    9    1 
 9    7    9    1 
 9    8    4    1 
 9    8    9    1 
 9    9    4    1 
 9    9    9    1 
 9    10   4    1 
 9    10   9    1 
 11   4    9    1 
 11   6    9    1 
 11   7    9    1 
 11   8    4    1 
 11   8    9    1 
 11   9    4    1 
 11   9    9    1 
 11   10   4    1 
 11   10   9    1 
 12   5    2    1 
 13   2    4    1 
 13   7    9    1 
 13   8    4    1 
 13   8    9    1 
 13   9    4    1 
 13   9    9    1 
 13   10   4    1 
 13   10   9    1 
 13   11   3    1 
 13   11   9    1 
 13   12   3    1 
 13   12   5    1 
 13   12   6    1 
 13   12   7    1 
 13   12   8    1 
 13   12   9    1 
 13   12   10   1 
 13   12   11   1 
 13   12   12   1 
 3    12   5    2 
 3    12   12   2 
 4    3    6    2 
 4    3    9    2 
 4    3    10   2 
 4    3    11   2 
 5    11   3    2 
 5    12   3    2 
 5    13   3    2 
 6    3    8    2 
 6    3    9    2 
 6    3    10   2 
 6    3    11   2 
 6    4    9    2 
 6    5    9    2 
 6    7    9    2 
 6    8    9    2 
 6    9    9    2 
 6    11   9    2 
 6    12   5    2 
 6    12   8    2 
 6    12   9    2 
 6    12   10   2 
 6    12   11   2 
 7    11   3    2 
 7    12   3    2 
 7    12   5    2 
 7    12   6    2 
 7    12   7    2 
 7    12   8    2 
 7    12   11   2 
 7    13   3    2 
 8    3    8    2 
 8    3    9    2 
 8    3    10   2 
 8    3    11   2 
 8    5    9    2 
 8    7    9    2 
 8    8    9    2 
 8    9    9    2 
 8    11   9    2 
 8    12   5    2 
 8    12   8    2 
 8    12   9    2 
 8    12   10   2 
 8    12   11   2 
 9    3    11   2 
 9    12   5    2 
 9    12   11   2 
 9    12   12   2 
 10   2    4    2 
 10   3    4    2 
 10   3    6    2 
 10   3    7    2 
 10   3    8    2 
 10   3    9    2 
 10   3    10   2 
 10   5    9    2 
 10   7    9    2 
 10   8    4    2 
 10   8    9    2 
 10   9    4    2 
 10   9    9    2 
 10   11   3    2 
 10   11   9    2 
 10   12   3    2 
 10   12   5    2 
 10   12   6    2 
 10   12   7    2 
 10   12   8    2 
 10   12   9    2 
 10   12   10   2 
