Vox file for Rest
14x14x14 slab size 
---------------------
 x    y    z    c    
---------------------
 2    4    7    1 
 2    4    11   1 
 3    5    2    1 
 3    5    3    1 
 3    5    4    1 
 3    10   3    1 
 3    11   2    1 
 4    7    5    1 
 4    7    7    1 
 4    7    9    1 
 4    10   3    1 
 4    10   7    1 
 4    12   7    1 
 5    3    7    1 
 5    6    5    1 
 5    6    7    1 
 5    6    8    1 
 5    6    10   1 
 5    7    5    1 
 5    7    7    1 
 5    7    9    1 
 5    8    4    1 
 5    8    7    1 
 5    8    9    1 
 5    9    4    1 
 5    9    7    1 
 5    9    10   1 
 5    10   3    1 
 5    10   7    1 
 5    12   7    1 
 6    4    7    1 
 6    7    5    1 
 6    7    7    1 
 6    7    9    1 
 6    10   3    1 
 6    10   7    1 
 6    11   2    1 
 6    11   7    1 
 6    11   12   1 
 6    12   7    1 
 8    6    5    1 
 8    6    7    1 
 8    6    8    1 
 8    6    10   1 
 8    7    5    1 
 8    7    7    1 
 8    7    9    1 
 8    8    4    1 
 8    8    7    1 
 8    8    9    1 
 8    10   3    1 
 8    10   7    1 
 8    12   7    1 
 9    4    7    1 
 9    6    5    1 
 9    6    7    1 
 9    6    8    1 
 9    6    10   1 
 9    8    4    1 
 9    8    7    1 
 9    8    9    1 
 9    10   3    1 
 9    10   7    1 
 9    12   7    1 
 10   4    7    1 
 10   6    5    1 
 10   6    7    1 
 10   6    8    1 
 10   6    10   1 
 10   8    4    1 
 10   8    7    1 
 10   8    9    1 
 10   10   3    1 
 10   10   7    1 
 10   11   2    1 
 10   11   7    1 
 10   11   12   1 
 10   12   7    1 
 11   8    4    1 
 11   9    4    1 
 12   3    7    1 
 12   9    4    1 
 12   9    7    1 
 12   9    10   1 
 12   12   7    1 
 13   3    7    1 
 13   8    4    1 
 13   8    7    1 
 13   8    9    1 
 13   11   2    1 
 13   11   7    1 
 13   11   12   1 
 13   12   7    1 
 3    2    7    2 
 3    3    7    2 
 3    4    7    2 
 3    4    11   2 
 3    6    5    2 
 3    6    7    2 
 3    6    8    2 
 3    6    10   2 
 3    8    7    2 
 3    8    9    2 
 3    9    7    2 
 3    9    10   2 
 3    13   6    2 
 3    13   7    2 
 4    4    11   2 
 4    5    11   2 
 5    4    11   2 
 5    5    11   2 
 6    5    11   2 
 7    2    7    2 
 7    3    7    2 
 7    4    7    2 
 7    4    11   2 
 7    5    2    2 
 7    5    3    2 
 7    5    4    2 
 7    5    5    2 
 7    5    6    2 
 7    5    7    2 
 7    5    11   2 
 7    6    5    2 
 7    6    7    2 
 7    6    8    2 
 7    6    10   2 
 7    8    4    2 
 7    8    7    2 
 7    8    9    2 
 7    9    4    2 
 7    9    7    2 
 7    9    10   2 
 7    11   2    2 
 7    11   7    2 
 7    13   6    2 
 7    13   7    2 
 8    4    11   2 
 8    5    11   2 
 9    5    11   2 
 10   5    11   2 
 11   2    7    2 
 11   3    7    2 
 11   5    5    2 
 11   5    6    2 
 11   5    7    2 
 11   5    11   2 
 11   10   7    2 
 11   10   11   2 
 11   11   7    2 
 11   11   12   2 
 11   13   6    2 
 11   13   7    2 
 3    5    8    3 
 3    5    9    3 
 3    5    10   3 
 3    5    12   3 
 3    5    13   3 
 3    7    6    3 
 3    7    8    3 
 3    7    10   3 
 3    7    11   3 
 3    7    12   3 
 3    7    13   3 
 3    10   5    3 
 3    10   6    3 
 3    10   8    3 
 3    10   9    3 
 3    10   10   3 
 3    10   12   3 
 3    10   13   3 
 3    11   5    3 
 3    11   6    3 
 3    11   8    3 
 3    11   9    3 
 3    11   10   3 
 3    11   11   3 
 3    11   13   3 
 3    12   5    3 
 3    12   6    3 
 3    12   8    3 
 3    12   9    3 
 3    12   10   3 
 3    12   11   3 
 3    12   12   3 
 3    12   13   3 
 4    7    11   3 
 4    12   11   3 
 5    3    11   3 
 5    6    11   3 
 5    7    11   3 
 5    8    11   3 
 5    9    11   3 
 5    12   11   3 
 6    7    11   3 
 6    11   11   3 
 6    12   11   3 
 7    7    2    3 
 7    7    3    3 
 7    7    4    3 
 7    7    6    3 
 7    7    8    3 
 7    7    10   3 
 7    7    11   3 
 7    10   2    3 
 7    10   4    3 
 7    10   5    3 
 7    10   6    3 
 7    10   8    3 
 7    10   9    3 
 7    10   10   3 
 7    12   2    3 
 7    12   3    3 
 7    12   4    3 
 7    12   5    3 
 7    12   6    3 
 7    12   8    3 
 7    12   9    3 
 7    12   10   3 
 7    12   11   3 
 8    6    11   3 
 8    7    11   3 
 8    8    11   3 
 8    12   11   3 
 9    6    11   3 
 9    8    11   3 
 9    12   11   3 
 10   6    11   3 
 10   8    11   3 
 10   11   11   3 
 10   12   11   3 
 11   4    5    3 
 11   4    6    3 
 11   4    8    3 
 11   4    9    3 
 11   4    10   3 
 11   4    12   3 
 11   4    13   3 
 11   6    6    3 
 11   6    9    3 
 11   6    11   3 
 11   6    12   3 
 11   6    13   3 
 11   7    6    3 
 11   7    8    3 
 11   7    10   3 
 11   7    11   3 
 11   7    12   3 
 11   7    13   3 
 11   8    5    3 
 11   8    6    3 
 11   8    8    3 
 11   8    10   3 
 11   8    11   3 
 11   8    12   3 
 11   8    13   3 
 11   9    5    3 
 11   9    6    3 
 11   9    8    3 
 11   9    9    3 
 11   9    11   3 
 11   9    12   3 
 11   9    13   3 
 11   12   5    3 
 11   12   6    3 
 11   12   8    3 
 11   12   9    3 
 11   12   10   3 
 11   12   11   3 
 11   12   12   3 
 11   12   13   3 
---------------------
 c    R    G    B    
---------------------
 1    0    0    255 
 2    255  0    0   
 3    0    255  0   
