Vox file for Growth
14x14x14 slab size 
---------------------
 x    y    z    c    
---------------------
 2    6    6    1 
 2    6    7    1 
 2    6    8    1 
 2    10   3    1 
 2    10   7    1 
 2    10   11   1 
 3    3    7    1 
 3    7    6    1 
 3    7    7    1 
 3    7    8    1 
 3    9    4    1 
 3    9    7    1 
 3    9    10   1 
 4    5    2    1 
 4    5    3    1 
 4    5    4    1 
 4    9    4    1 
 4    10   3    1 
 4    11   2    1 
 5    6    6    1 
 5    6    8    1 
 5    7    6    1 
 5    7    8    1 
 5    9    4    1 
 5    9    10   1 
 5    10   3    1 
 5    10   11   1 
 6    6    6    1 
 6    6    8    1 
 6    10   3    1 
 6    10   11   1 
 7    6    6    1 
 7    6    8    1 
 7    7    6    1 
 7    7    8    1 
 7    9    4    1 
 7    9    10   1 
 7    10   11   1 
 8    6    6    1 
 8    6    8    1 
 8    10   3    1 
 8    10   11   1 
 9    6    6    1 
 9    6    8    1 
 9    7    6    1 
 9    7    8    1 
 9    9    4    1 
 9    9    10   1 
 9    10   3    1 
 9    10   11   1 
 10   6    6    1 
 10   6    8    1 
 10   10   3    1 
 10   10   11   1 
 11   9    4    1 
 11   10   3    1 
 12   3    7    1 
 12   5    2    1 
 12   5    3    1 
 12   5    4    1 
 12   5    5    1 
 12   5    6    1 
 12   5    7    1 
 12   5    8    1 
 12   5    9    1 
 12   5    10   1 
 12   5    11   1 
 12   5    12   1 
 12   6    6    1 
 12   6    7    1 
 12   6    8    1 
 13   2    7    1 
 13   7    6    1 
 13   7    7    1 
 13   7    8    1 
 13   8    5    1 
 13   8    7    1 
 13   8    9    1 
 13   9    4    1 
 13   9    7    1 
 13   9    10   1 
 13   10   3    1 
 13   10   7    1 
 13   10   11   1 
 13   11   2    1 
 13   11   7    1 
 13   11   12   1 
 13   12   7    1 
 4    2    7    2 
 4    3    7    2 
 4    13   7    2 
 5    2    7    2 
 5    3    7    2 
 5    4    7    2 
 5    5    5    2 
 5    5    7    2 
 5    5    9    2 
 5    5    12   2 
 5    11   7    2 
 5    11   12   2 
 5    12   7    2 
 5    13   7    2 
 6    2    7    2 
